,GDP,ERATE,SPI,GIR
1/1/1994,704079.1766,27.85704889,2799.248977,176631.6465
4/1/1994,712956.0864,27.54338741,2824.378389,196374.8574
7/1/1994,718021.4714,26.05822138,2962.611233,195980.9175
10/1/1994,732563.2216,24.33299896,2916.272715,183047.1861
1/1/1995,738239.1859,25.31672275,2424.813764,178929.0929
4/1/1995,743536.6514,26.20106415,2618.724509,183528.5366
7/1/1995,757617.8078,25.47221771,2759.65276,203595.0817
10/1/1995,764429.9796,25.80365698,2567.330257,204796.554
1/1/1996,777740.4429,26.40972662,2872.012979,228100.6023
4/1/1996,789433.1387,26.53607826,3104.787079,250664.6731
7/1/1996,801302.9038,25.95555275,3139.54106,286848.7827
10/1/1996,810425.7641,25.94897078,3143.171965,309050.6182
1/1/1997,818315.8491,26.53573349,3300.509852,314245.676
4/1/1997,835004.6989,26.72175609,2705.889621,301636.85
7/1/1997,838135.0277,29.38154618,2233.333839,304898.8936
10/1/1997,853622.8809,35.06629804,1887.572253,345033.7185
1/1/1998,832394.5252,40.87574105,2131.305077,375670.5373
4/1/1998,827799.1042,39.67710215,1934.72785,420317.471
7/1/1998,834616.7381,42.58486312,1355.291626,435932.0448
10/1/1998,831510.3919,40.30462134,1965.886824,438631.8982
1/1/1999,841266.0376,38.8874114,1963.630487,482762.4166
4/1/1999,852108.5361,38.33476853,2397.975907,521062.0866
7/1/1999,859352.3945,38.97753213,2206.772737,553367.1723
10/1/1999,871823.7855,40.10094785,2116.67321,605188.3072
1/1/2000,881271.0857,40.85375274,1752.505507,621687.0726
4/1/2000,889581.6326,42.23316727,1489.763662,649273.4722
7/1/2000,902057.8773,44.74156334,1466.505595,673711.2211
10/1/2000,903122.8294,48.9496204,1457.702489,727174.0847
1/1/2001,907660.3788,49.25975149,1563.651217,714382.4053
4/1/2001,915361.7942,51.10209854,1350.543849,734128.5877
7/1/2001,926763.1548,51.89953248,1255.633721,748898.2062
10/1/2001,931187.8545,51.52696211,1156.895597,779730.3607
1/1/2002,937558.5958,51.45808009,1372.747925,854777.6359
4/1/2002,949229.4767,50.75741916,1226.738198,858808.6816
7/1/2002,956415.9911,51.25086315,1122.660155,829725.2416
10/1/2002,973144.0736,52.93274748,1096.064712,856121.8669
1/1/2003,980278.2552,54.27074848,1022.25085,885774.6656
4/1/2003,992148.2558,53.25623278,1076.776314,858835.2461
7/1/2003,1011332.97,54.3216892,1247.567577,889753.0088
10/1/2003,1024593.963,54.95816666,1440.761132,942292.0796
1/1/2004,1049255.809,56.16586578,1456.992944,911243.2294
4/1/2004,1062911.696,56.26900189,1504.391098,927998.8263
7/1/2004,1074589.513,55.73953001,1646.133885,901607.2851
10/1/2004,1087236.866,55.98481543,1878.190609,908628.3938
1/1/2005,1097140.339,55.23949838,2004.600658,897294.9463
4/1/2005,1113064.077,55.03218125,1858.486482,945289.1995
7/1/2005,1125841.069,55.77274105,1963.626377,1005753.12
10/1/2005,1142118.375,54.28853383,2104.769442,995175.5889
1/1/2006,1155665.588,52.07893612,2143.281835,1066400.775
4/1/2006,1167584.071,52.57414028,2203.630281,1100677.041
7/1/2006,1185105.474,51.36526966,2423.257318,1095909.19
10/1/2006,1205586.822,49.42415295,2878.639292,1125691.487
1/1/2007,1230022.726,48.77210597,3160.823374,1183664.198
4/1/2007,1249776.794,47.28215081,3422.803981,1214824.08
7/1/2007,1260216.211,45.68051282,3481.891798,1360241.833
10/1/2007,1283373.207,42.79456853,3705.095545,1416630.895
1/1/2008,1281811.634,41.16077293,3119.859237,1472560.4
4/1/2008,1300466.643,43.3676397,2631.654694,1582236.948
7/1/2008,1325505.973,45.26187253,2612.78067,1664586.205
10/1/2008,1332304.878,48.11789968,1984.980607,1771605.497
1/1/2009,1288500.055,47.97058541,1889.42083,1866061.192
4/1/2009,1313997.427,48.22562436,2260.853527,1910087.633
7/1/2009,1337015.277,47.89101728,2828.905053,1985462.127
10/1/2009,1361410.869,46.45793948,3055.925305,2036976.679
1/1/2010,1393285.147,46.22039826,3048.066333,2100198.892
4/1/2010,1422844.457,45.86905016,3259.890138,2200826.217
7/1/2010,1436266.439,45.02821197,3700.52792,2296926.234
10/1/2010,1448113.061,43.32828514,4196.943355,2598940.551
1/1/2011,1454034.316,44.00315007,3895.306856,2820384.131
4/1/2011,1468553.281,43.59679069,4229.6114,3010608.455
7/1/2011,1484043.623,42.48697689,4288.817333,3167551.631
10/1/2011,1506269.321,43.16446496,4364.542631,3266355.434
1/1/2012,1537534.777,43.25270432,4888.756146,3305309.096
4/1/2012,1557446.678,43.1271944,5120.975648,3303484.682
7/1/2012,1590777.727,41.64477686,5289.903826,3374030.877
10/1/2012,1619596.464,40.89147219,5687.656131,3399018.205
1/1/2013,1652467.839,40.91009344,6595.993991,3429569.425
4/1/2013,1674182.067,42.13349433,6790.660514,3475032.318
7/1/2013,1701124.336,43.42878593,6308.782042,3619367.271
10/1/2013,1719750.097,43.31158295,6291.254028,3612555.762
1/1/2014,1751123.057,45.07707884,6291.530996,3580390.523
4/1/2014,1778789.599,44.47883645,6670.296952,3583934.462
7/1/2014,1797771.257,43.51455614,7072.606187,3505454.562
10/1/2014,1828483.065,44.52713296,7310.158494,3526343.413
1/1/2015,1845759.234,44.62982984,7780.910991,3580012.729
4/1/2015,1877887.776,45.02059976,7556.110448,3641458.71
7/1/2015,1907734.238,45.7974016,7186.579354,3690365.521
10/1/2015,1942511.79,46.5637713,7094.186851,3756340.732
1/1/2016,1975563.487,47.49637967,6869.260428,3865651.555
4/1/2016,2013056.386,46.86835894,7388.582209,3948600.176
7/1/2016,2046931.383,46.80104941,7798.116615,4025713.613
